Athlete,Day,<-3,-3 - -1.75,-1.75 - 0,0 - 1.75,1.75 - 3,>3,File_gps
GPS ela,G1,15.829730749062337,153.93714505009984,305.11157988242934,261.77218857572404,98.07422434120552,6.7095698928446605,../data/G1/213ae5cc-65f8-4930-a034-bf4dc2eae950-resampled.csv
GPS martin,G1,21.56041760217659,137.70940325614927,318.1453796234747,211.13313749984297,120.91324570936298,25.038394731829698,../data/G1/2669730a-67a2-48c7-818b-5cd2ecfec89d-resampled.csv
GPS meggye,G1,4.353071475995338,121.32996786978892,349.3753449099026,256.38471535576633,108.34648627592784,3.7858891364827585,../data/G1/6a81168d-4940-48c5-8981-bd809fb6ebf5-resampled.csv
GPS cate,G1,21.087239751679597,118.26809316921789,328.40942801128705,235.01132209999292,110.41721137524529,24.096487804238016,../data/G1/7146465b-ba5c-4300-af0c-043e579c13bc-resampled.csv
GPS Ilaria,G1,13.953343180564586,115.25019694934079,330.02885110413337,242.0906185715467,121.33541573474656,15.95600215808103,../data/G1/85e148df-0b3c-4994-82d2-ac033a3167e5-resampled.csv
GPS aydan,G1,13.637928341409584,120.17139946741825,324.77175232141616,232.05754450661914,123.17657406778295,24.18363474505879,../data/G1/92cfda15-66c1-4f84-8123-e0ed1135d1e2-resampled.csv
GPS giorgio,G1,15.47939244487515,165.05526954365328,284.8285429591871,274.2604308960181,86.88676782794322,12.282882720291395,../data/G1/9f86ac8b-d9b5-4623-aada-b4557ec160fe-resampled.csv
GPS Ilaria_2,G1,14.565777816304854,99.37006616550389,358.3001106921134,219.61117050718323,130.47596076863394,15.656565473872005,../data/G1/a8b20cfa-e7dd-41f6-a184-31351cb9d875-resampled.csv
GPS martin_2,G1,20.70821236106255,119.02618611548405,193.7795488554119,226.31261721404493,83.34196626515205,13.973330368786966,../data/G1/c50fd215-01c8-4948-9c4e-9133696d494f-resampled.csv
GPS ela2,G1,12.27929108471193,124.27614723484014,343.85659516488994,228.4998584754841,117.54037218496079,11.26726236251731,../data/G1/e00a402d-96a5-4522-b4cd-9b12b0cc2cce-resampled.csv
