Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,11.089531366326357,14.657574534595064,76.79622821535159,78.22318190693777,1.2107445317763894,1.4487537626907196
2,14.987732014255634,16.606042398497255,76.02824438854412,75.39714785507874,1.5289644942340266,1.6741706495854463
3,10.07409166322496,19.283347011369294,73.92134863622861,73.65914940434448,1.7341452274573383,1.5837875281668334
4,7.533723688449408,18.787865246829565,69.73334112915475,67.8253188952755,1.6468581183245201,1.4426404504975352
5,12.981139430886195,11.857368259704163,65.21379498653282,65.57580163483404,1.7808148313978729,1.4432390817648781
6,18.661732256668362,14.044864865225527,62.289846731385474,61.51217716338082,1.6810170628841812,1.5865162491740958
7,17.211726121367274,13.58943725838386,59.37554140571843,58.28745668209944,1.5570218781637724,1.5330307423149439
8,14.165752442454458,24.157212021993228,57.40318864750189,58.993880006380024,1.3560136506395255,1.547282650875058
9,13.479475204685052,15.245073133639403,63.429594430908224,64.53332976236298,1.3472222171429864,1.6657601902592094
10,12.316029136991391,17.111484117461487,63.573675903817005,64.49058430362271,1.3655598920319272,1.5860259951229256
11,11.772594449748421,14.054016837523971,64.20752531671855,66.17385615123126,1.6644376530420055,1.1530861431422839
12,16.85088309677698,13.879844431773481,63.78138421428875,62.5874275712219,1.5845702079749389,1.6884579695683908
13,15.200282047380334,15.36694349388605,62.41429538858198,63.142991710198444,1.2938035725758248,1.5517186625404966
14,10.377485240549516,20.803456978890623,62.08368087188367,63.57407873930303,1.3211812236475677,1.6873598793228046
15,11.876682889834164,9.292411409528103,63.046292670756614,64.92653710086611,1.2311955422921894,1.3892856990954705
16,17.37328821657137,19.114995974482504,62.17721215170331,61.77529127656652,1.5157479197504353,1.5311802023167158
17,10.146087822269507,11.641162184968827,61.99276820479394,62.85559415218132,1.2456728779745627,1.503442209875345
18,18.90521347775243,19.538227177369293,60.8248294090235,59.76449960637448,1.203321970973857,1.5293921592358213
19,7.709932052152206,14.652634791292922,61.672400535904195,63.694400444751,1.4409152702353383,1.2515342538809662
20,12.4716736820885,21.468963582935537,63.14672671245056,64.5953578327173,1.3813492278271247,1.2841221991124117
21,6.678666380624852,9.002959328872493,66.14100696959885,66.67578740136088,0.9998554786979378,1.2913295869953199
22,16.49443763797066,20.735650307606413,67.69427962561234,68.08166938916446,1.5063560435362342,1.5380238100923647
23,10.548623120000704,11.429054051097893,68.89172328139394,68.8979578997317,1.412924069820318,1.4886504008684955
24,17.78607691650204,16.58282785793688,66.21378854705198,61.8120893199539,1.4923695875396994,1.3580762728219533
25,13.024669999372051,11.045835316687816,58.645443716830506,57.35373062250405,1.142868938855398,1.1405397086464246
26,17.095908114632067,16.877354081762913,52.72809475438285,48.04934384534866,1.2697052082306948,1.1779380232390884
27,11.379227597745098,10.918100261133862,42.95321742741065,39.69782637150522,1.0825417222466676,1.2145517331728657
