Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,25.6514892598308,21.371134486796112,23.319070943039705,35.38589947541218,1.214979380632569,1.226264992183647
2,16.770150761201382,18.07482954446308,41.906686109194204,46.400516765807566,1.207089601485731,1.1596017080475132
3,15.177756695786066,20.677367446884215,50.25720048020439,52.757518968095425,1.8482132269083753,1.212101366346818
4,17.9506074666423,13.642256992879467,54.99880234145069,56.5070785157445,1.6503963821091763,1.54878204390536
5,15.780262162334969,21.84066283824986,55.799837829641795,57.020068798026,2.2007613000149813,1.3734201967220134
6,16.13541020330912,15.335156269186683,57.334477057172975,57.216640523030655,1.4104873653480559,1.3380015429779075
7,19.289407967869074,17.620638965266856,58.60864066741794,61.12966019255308,1.6478086815106903,1.303622070645767
8,19.012561079152345,17.26317133995119,62.245195770954695,68.57124498897083,1.4162108325404352,1.729113711050061
9,17.706583585444218,9.69053921165745,73.60762611747484,74.90804430456308,1.5483035948785722,1.5005478351420627
10,21.370406262163403,23.33267385498182,74.35634869406938,72.82222641527076,1.6012548165986062,1.3954016161230223
11,15.557589019969775,22.65373152614115,68.23737122908501,65.78893519201512,1.3622611939369684,1.1392435784153303
12,14.362257659060703,14.745080416250932,63.98417151278634,63.05475671008985,1.0261393243864032,1.282730053492885
13,16.356341065606134,21.632871669728203,61.669800232571646,60.58992222533637,1.1740727403081983,1.2004049150707334
14,16.48092865339246,17.29591260181737,59.50660704288615,59.5824440422852,1.002166394078368,1.0652356815200354
15,19.152563796085385,19.65573937177885,59.77874652260945,59.22652001152262,1.3541708799984231,0.935855054745357
16,20.433576118705087,17.38138753379502,59.63371196581743,61.57602084847746,1.066656793317,1.2470908437108623
17,23.776148405654126,20.875255216203797,64.49499518435478,64.17298967001624,1.3043840102479847,1.104676786177875
18,22.004471657155783,14.527846914077989,63.643517260523126,65.18466591031624,1.1544083233805627,1.7137276893910294
19,16.24853882236203,16.744041679796474,66.29627452092224,67.27640426533283,1.286172943610502,0.8635407959135019
20,17.623556317018767,17.581696150767275,68.3591930297035,70.1866392466944,1.1118645014640944,1.4824722045891219
