Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,27.634890166220217,19.934853433535263,24.570559720250685,35.12153064336749,1.3094499365770949,1.1524262906915281
2,15.441075217607597,19.562842660691572,40.717414340932315,44.86543937625174,1.2378528111725284,1.2300857088714527
3,16.87621606155672,19.15683836567028,47.63853884863749,47.6500813153132,1.5787701147210251,1.2659975364361413
4,16.216589004426176,15.051976981562525,48.56417158930929,51.12470029379132,1.7980731189265438,1.684993928047502
5,17.344989200401287,20.62081880154668,52.43770067626928,50.35460197495922,1.8746220033835903,1.5898205528586427
6,15.210333831332013,16.061906648870824,47.82115113363953,51.05803006126079,1.2977628478437118,1.8035604691885991
7,20.39625225144634,16.704352548713537,52.53116797127936,54.59760833076412,1.4648709267063313,1.431274348562873
8,17.82324067216042,18.271490192381023,57.730789422841106,63.63547845244762,1.4544057644288748,2.0770537284242594
9,17.98903807262932,9.410452730261252,69.6741902442134,71.47654790098474,1.5304710372959487,1.4010320217623147
10,21.160198665976296,23.715234126649314,71.48618970150109,70.33327777869334,1.6278902365983425,1.4313474325117492
11,16.10557441102911,22.284647564709523,65.02972079196681,62.5784687837812,1.6366161484890047,1.1153907103034275
12,14.1102482707662,14.971497570173932,60.83364018495861,61.229676364930945,1.2520548142338466,1.1448982357169974
13,16.670711606588533,21.199492723085953,59.99300958143244,58.69409890131679,1.2937070305634994,1.2068918892795408
14,16.316779552375557,17.542500405928635,57.36600729317704,58.04439732421983,1.1379375715428914,0.9289776998857338
15,19.70924754285622,19.37104460078753,57.70233211025971,56.85078315634284,1.5703265204210732,0.9234968742424023
16,19.97148451747937,17.92570565537957,57.4806718829868,59.743122060720935,1.249930486615302,1.1915305425738523
17,24.159007861280532,20.54455299893197,62.706064203385175,63.00780894689078,1.324381789798342,1.050452077296737
18,21.318050788782156,15.281472713034272,63.48144970884403,65.37194417415157,1.267968767978311,1.5376884561674045
19,16.54672685355353,16.505794151219238,66.30960280674941,66.61419605900957,1.616784841417814,0.9514807930047035
20,17.28890777959373,17.95169282467571,66.91369263201815,68.80533467542777,1.288028444342038,1.4798643880716622
